,symbol,bid,change,change_percentage
0,EUR/USD,1.0085,+0.0070,+0.70%
1,GBP/USD,1.1855,+0.0035,+0.30%
2,USD/JPY,138.53,-0.35,-0.26%
3,USD/CHF,0.9761,-0.0076,-0.77%
4,AUD/USD,0.679,+0.0045,+0.67%
5,USD/CAD,1.3024,-0.0091,-0.69%
6,NZD/USD,0.6164,+0.0037,+0.60%
7,USD/ZAR,17.0634,-0.1014,-0.59%
8,USD/TRY,17.3949,-0.0377,-0.22%
9,USD/MXN,20.518,-0.2515,-1.21%
10,USD/PLN,4.7357,-0.0696,-1.45%
11,USD/SEK,10.4663,-0.1001,-0.95%
12,USD/SGD,1.3998,-0.0034,-0.24%
13,USD/DKK,7.3786,-0.0492,-0.66%
14,USD/NOK,10.1576,-0.0540,-0.53%
15,USD/ILS,3.4603,-0.0323,-0.92%
16,USD/HUF,397.22,-7.47,-1.84%
17,USD/CZK,24.253,-0.1230,-0.50%
18,USD/THB,36.62,+0.060,+0.16%
19,USD/AED,3.6727,+0.0004,+0.01%
20,USD/JOD,0.708,+0.0010,+0.14%
21,USD/KWD,0.3076,+0.0002,+0.06%
22,USD/HKD,7.8498,+0.0003,+0.00%
23,USD/SAR,3.7503,+0.0011,+0.03%
24,USD/INR,79.72,-0.156,-0.19%
25,USD/KRW,1318.23,+2.38,+0.18%
26,BRL/USD,0.1849,+0.0006,+0.35%
27,CAD/USD,0.7676,+0.0056,+0.73%
28,CHF/USD,1.0242,+0.0083,+0.81%
29,FJD/USD,0.4429,+0.0052,+1.16%
30,GHS/USD,0.1209,+0.0022,+1.82%
31,JPY/USD,0.7219,+0.002200,+0.31%
32,KYD/USD,1.1976,+0.0073,+0.61%
33,SGD/USD,0.7141,+0.0019,+0.27%
34,USD/ALL,115.54,-0.590,-0.51%
35,USD/AMD,412.42,+1.79,+0.43%
36,USD/ANG,1.7845,+0.0177,+0.99%
37,USD/ARS,128.22,+0.2300,+0.18%
38,USD/AUD,1.4719,-0.0094,-0.63%
39,USD/BBD,1.9981,+0.0210,+1.05%
40,USD/BDT,93.9,+0.050,+0.05%
41,USD/BGN,1.9384,-0.0129,-0.66%
42,USD/BHD,0.3769,0.0001,0.02%
43,USD/BIF,2017.45,+41.28,+2.05%
44,USD/BND,1.3998,-0.0034,-0.24%
45,USD/BOB,6.79,+0.0650,+0.96%
46,USD/BRL,5.4067,-0.0151,-0.28%
47,USD/BSD,0.9938,0.0000,0.00%
48,USD/BWP,12.7389,-0.0081,-0.06%
49,USD/BZD,1.9982,+0.0175,+0.88%
50,USD/CLP,971.31,-75.79,-7.22%
51,USD/CNY,6.7564,+0.0010,+0.01%
52,USD/COP,4402.1,-88.15,-1.96%
53,USD/CRC,677.82,+5.16,+0.76%
54,USD/CUP,0.9706,0.0000,0.00%
55,USD/DJF,177.5,+0.52,+0.30%
56,USD/DOP,54.41,-0.060,-0.11%
57,USD/DZD,146.86,+0.170,+0.12%
58,USD/EGP,18.85,+0.0400,+0.21%
59,USD/ETB,52.0734,+0.1305,+0.25%
60,USD/EUR,0.9914,-0.0065,-0.65%
61,USD/FJD,2.2036,+0.0285,+1.29%
62,USD/GBP,0.8432,-0.0022,-0.27%
63,USD/GEL,2.82,+0.0175,+0.62%
64,USD/GHS,7.98,+0.0750,+0.93%
65,USD/GMD,54.1,+0.2000,+0.37%
66,USD/GNF,8619.0,+47.50,+0.55%
67,USD/GTQ,7.725,+0.0075,+0.10%
68,USD/HNL,24.3752,+0.2184,+0.90%
69,USD/HRK,7.4393,-0.0487,-0.65%
70,USD/HTG,113.989,+1.798,+1.58%
71,USD/IDR,14990.0,+2.5,+0.02%
72,USD/IQD,1458.52,+1.02,+0.07%
73,USD/IRR,42000.0,0.00,0.00%
74,USD/ISK,137.53,-0.970,-0.70%
75,USD/JMD,150.97,+1.265,+0.84%
76,USD/KES,118.15,+0.150,+0.13%
77,USD/KHR,4075.0,+10.00,+0.25%
78,USD/KMF,488.88,-1.770,-0.36%
79,USD/KZT,481.79,+2.560,+0.53%
80,USD/LAK,15017.0,+20.50,+0.14%
81,USD/LBP,1505.7,+6.70,+0.45%
82,USD/LKR,355.0,-1.000,-0.28%
83,USD/LSL,17.0713,-0.0725,-0.42%
84,USD/LYD,4.8613,+0.0112,+0.23%
85,USD/MAD,10.4166,+0.0067,+0.06%
86,USD/MDL,19.25,+0.0600,+0.31%
87,USD/MGA,4114.0,+108.84,+2.66%
88,USD/MKD,61.09,-0.405,-0.66%
89,USD/MMK,1850.0,+1.500,+0.08%
90,USD/MOP,8.086,+0.0050,+0.06%
91,USD/MRO,36.97,+0.190,+0.51%
92,USD/MUR,45.0,+0.250,+0.56%
93,USD/MVR,15.42,+0.0400,+0.26%
94,USD/MWK,1016.55,+7.400,+0.73%
95,USD/MYR,4.447,+0.0070,+0.16%
96,USD/NAD,17.0517,-0.0898,-0.52%
97,USD/NGN,414.9,+0.570,+0.14%
98,USD/NIO,35.71,+0.1450,+0.41%
99,USD/NPR,127.8,+0.010,+0.01%
