,Index,Price,24h Δ,24h %Δ
0,S&P 500 <br> (United States),3863.16,72.78,1.92
1,Nasdaq <br> (United States),11452.42,201.24,1.79
2,S&P/TSX <br> (Canada),18394.45,65.39,0.36
3,FTSE BIVA Real Time Price <br> (Mexico),978.14,6.21,0.64
4,DAX <br> (Germany),12864.72,345.06,2.76
5,FTSE 100 <br> (United Kingdom),7159.01,119.2,1.69
6,CAC 40 <br> (France),6036.0,120.59,2.04
7,FTSE Italia All Share <br> (Italy),22956.33,406.37,1.8
8,IBEX 35 <br> (Spain),7945.9,141.6,1.81
9,PSI 20 <br> (Portugal),5914.67,162.77,2.83
10,AEX <br> (Netherlands),671.92,12.21,1.85
11,BEL 20 <br> (Belgium),3703.76,34.1,0.93
12,OSE Benchmark <br> (Norway),1159.96,8.73,0.76
13,OMXS30 <br> (Sweden),1903.82,0.31,0.02
14,OMX Helsinki 25 <br> (Finland),4532.96,71.61,1.61
15,WIG20 <br> (Poland),1620.13,6.15,0.38
16,MOEX <br> (Russia),2109.52,46.22,2.24
17,Shanghai <br> (China),3228.06,-53.68,-1.64
18,SZSE Component <br> (China),12411.01,-191.77,-1.52
19,China A50 <br> (China),14094.98,-214.83,-1.5
20,Nikkei 225 <br> (Japan),26788.47,145.08,0.54
21,KOSPI <br> (South Korea),2330.98,8.66,0.37
22,Hang Seng <br> (Hong Kong),20297.72,-453.49,-2.19
23,FTSE Singapore <br> (Singapore),325.04,0.48,0.15
24,BSE Sensex <br> (India),53760.78,344.63,0.65
25,BIST 100 <br> (Turkey),2382.44,-25.64,-1.06
26,Taiwan Weighted <br> (Taiwan),14550.62,112.1,0.78
27,SET <br> (Thailand),1533.37,-3.45,-0.22
28,S&P/ASX 200 <br> (Australia),6597.1,-48.9,-0.74
29,NZX 50 <br> (New Zealand),11122.61,-78.89,-0.7
30,Bovespa <br> (Brazil),96551.0,430.0,0.45
31,S&P Merval <br> (Argentina),104222.92,3704.51,3.69
32,S&P CLX IPSA <br> (Chile),5091.73,-43.7,-0.85
